variant,repeat,operator,us_per_run
scalar-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",115651.00
scalar-perf,3,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",15.36
scalar-perf,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",26.01
scalar-perf,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",63.06
scalar-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",311.90
scalar-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",4780.45
scalar-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",500.01
scalar-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",46539.11
scalar-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",6084.30
scalar-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",155316.58
optimized-perf,1,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",1.87
optimized-perf,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",3.83
optimized-perf,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",15.44
optimized-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",42.08
optimized-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",362.69
optimized-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",94.90
optimized-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2757.94
optimized-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",315.81
optimized-perf,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",12697.37
optimized-perf,2,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",1.86
optimized-perf,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",3.11
optimized-perf,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",15.53
optimized-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",30.60
optimized-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",324.70
optimized-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",91.49
optimized-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2253.68
optimized-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",310.18
optimized-perf,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",12543.70
optimized-perf,3,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",1.86
optimized-perf,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",3.72
optimized-perf,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",15.45
optimized-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",30.92
optimized-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",376.53
optimized-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",94.37
optimized-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2828.48
optimized-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",317.40
optimized-perf,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",12402.56
scalar-paired,1,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",15.10
scalar-paired,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",25.87
scalar-paired,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",70.35
scalar-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",339.13
scalar-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",16610.44
scalar-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2068.20
scalar-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",47549.64
scalar-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",6092.14
scalar-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",163465.08
scalar-paired,2,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",9.72
scalar-paired,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",14.27
scalar-paired,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",62.49
scalar-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",329.94
scalar-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",3007.56
scalar-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",487.82
scalar-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",42721.47
scalar-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",5855.15
scalar-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",90472.00
scalar-paired,3,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",15.07
scalar-paired,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",24.15
scalar-paired,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",68.72
scalar-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",325.38
scalar-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",15098.49
scalar-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2076.09
scalar-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",45364.26
scalar-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",6030.43
scalar-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",141387.25
optimized-paired,1,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",12.60
optimized-paired,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",26.81
optimized-paired,1,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",72.26
optimized-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",287.03
optimized-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",1604.73
optimized-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",325.29
optimized-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",9735.40
optimized-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2660.55
optimized-paired,1,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",26327.75
optimized-paired,2,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",8.41
optimized-paired,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",17.75
optimized-paired,2,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",62.27
optimized-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",287.08
optimized-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2572.30
optimized-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",927.41
optimized-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=4096,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",12876.18
optimized-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",2545.37
optimized-paired,2,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=16384,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",40022.00
optimized-paired,3,"TURBO_WHT(group_size=128,direction=0,scaled=0,roundtrip=0)",8.65
optimized-paired,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,1,1,1],nr23=[1,1],r=1,v=0)",15.65
optimized-paired,3,"SET_ROWS(type_src=f32,type_dst=turbo4_0,type_idx=i64,ne=[1024,128,1,1],nr23=[1,1],r=128,v=0)",61.96
optimized-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",289.06
optimized-paired,3,"FLASH_ATTN_EXT(hsk=128,hsv=128,nh=2,nr23=[4,1],kv=512,nb=128,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=turbo4_0,type_V=turbo4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0)",1607.44
